06:56:11.947	SERVER	admin	OK	Server was started (port: 1984).
06:56:12.214	127.0.0.1:58757	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	12.2 ms
06:56:13.461	127.0.0.1:58757	ManageIT	OK	EXEC[0]	1242.48 ms
06:56:13.664	127.0.0.1:58758	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	0.15 ms
06:56:13.984	127.0.0.1:58758	ManageIT	OK	EXEC[0]	319.39 ms
06:56:14.257	127.0.0.1:58759	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.js]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader.js")	0.18 ms
06:56:14.311	127.0.0.1:58759	ManageIT	OK	EXEC[0]	53.7 ms
06:56:14.413	127.0.0.1:58760	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.json]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader.json")	0.22 ms
06:56:14.453	127.0.0.1:58760	ManageIT	OK	EXEC[0]	40.14 ms
06:56:14.532	127.0.0.1:58761	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.class]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.class"}:) brjx:isResource("/BRjx_packages/BRjx_loader.class")	0.22 ms
06:56:14.575	127.0.0.1:58761	ManageIT	OK	EXEC[0]	42.85 ms
