10:46:33.641	SERVER	admin	OK	Server was started (port: 1984).
10:46:33.715	127.0.0.1:55287	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	1.46 ms
10:46:33.986	127.0.0.1:55287	ManageIT	OK	EXEC[0]	269.85 ms
10:46:34.057	127.0.0.1:55289	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	0.14 ms
10:46:34.173	127.0.0.1:55289	ManageIT	OK	EXEC[0]	115.62 ms
10:46:34.250	127.0.0.1:55290	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.js]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader.js")	0.09 ms
10:46:34.285	127.0.0.1:55290	ManageIT	OK	EXEC[0]	34.71 ms
10:46:34.327	127.0.0.1:55291	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.json]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader.json")	0.1 ms
10:46:34.356	127.0.0.1:55291	ManageIT	OK	EXEC[0]	29.61 ms
10:46:34.378	127.0.0.1:55292	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.class]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.class"}:) brjx:isResource("/BRjx_packages/BRjx_loader.class")	0.09 ms
10:46:34.407	127.0.0.1:55292	ManageIT	OK	EXEC[0]	28.53 ms
10:46:34.437	127.0.0.1:55293	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/package.json]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = package.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader/package.json")	0.14 ms
10:46:34.459	127.0.0.1:55293	ManageIT	OK	EXEC[0]	21.34 ms
