16:43:38.297	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[LOCK] http://localhost:8080/webdav/.DS_Store
16:43:38.460	0:0:0:0:0:0:0:1:57250	admin	200		163.37 ms
16:43:38.527	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.DS_Store
16:43:38.530	0:0:0:0:0:0:0:1:57250	admin	200		3.34 ms
16:43:38.555	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:38.558	0:0:0:0:0:0:0:1:57250	admin	200		2.4 ms
16:43:38.592	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/.hidden
16:43:38.595	0:0:0:0:0:0:0:1:57250	admin	200		2.5 ms
16:43:38.650	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:38.696	0:0:0:0:0:0:0:1:57250	admin	200		46.43 ms
16:43:38.753	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1685008080
16:43:38.756	0:0:0:0:0:0:0:1:57250	admin	200		2.57 ms
16:43:38.776	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._268884640
16:43:38.778	0:0:0:0:0:0:0:1:57250	admin	200		2.2 ms
16:43:38.787	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_conf
16:43:38.808	0:0:0:0:0:0:0:1:57250	admin	200		20.4 ms
16:43:38.823	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_main
16:43:38.824	0:0:0:0:0:0:0:1:57250	admin	200		1.9 ms
16:43:38.829	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_tables
16:43:38.834	0:0:0:0:0:0:0:1:57250	admin	200		4.57 ms
16:43:38.887	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._compare
16:43:38.889	0:0:0:0:0:0:0:1:57250	admin	200		2.42 ms
16:43:38.909	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._template_main
16:43:38.911	0:0:0:0:0:0:0:1:57250	admin	200		2.23 ms
16:43:41.858	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._.
16:43:41.860	0:0:0:0:0:0:0:1:57250	admin	200		2.38 ms
16:43:41.866	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/
16:43:41.882	0:0:0:0:0:0:0:1:57250	admin	200		16.9 ms
16:43:41.885	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._1685008080
16:43:41.887	0:0:0:0:0:0:0:1:57250	admin	200		1.9 ms
16:43:41.890	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._268884640
16:43:41.892	0:0:0:0:0:0:0:1:57250	admin	200		2.05 ms
16:43:41.910	0:0:0:0:0:0:0:1:57250	admin	REQUEST	[PROPFIND] http://localhost:8080/webdav/._BRjx_conf
