07:03:56.457	SERVER	admin	OK	Server was started (port: 1984).
07:03:56.684	127.0.0.1:62212	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	2.69 ms
07:03:57.456	127.0.0.1:62212	ManageIT	OK	EXEC[0]	770.76 ms
07:03:57.671	127.0.0.1:62213	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	2.18 ms
07:03:58.431	127.0.0.1:62213	ManageIT	OK	EXEC[0]	760.31 ms
07:03:58.583	127.0.0.1:62214	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.js]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader.js")	0.36 ms
07:03:58.646	127.0.0.1:62214	ManageIT	OK	EXEC[0]	62.55 ms
07:03:58.781	127.0.0.1:62215	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.json]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader.json")	0.25 ms
07:03:58.827	127.0.0.1:62215	ManageIT	OK	EXEC[0]	51.24 ms
07:03:58.945	127.0.0.1:62216	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.class]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.class"}:) brjx:isResource("/BRjx_packages/BRjx_loader.class")	0.17 ms
07:03:58.989	127.0.0.1:62216	ManageIT	OK	EXEC[0]	43.15 ms
