07:07:40.292	SERVER	admin	OK	Server was started (port: 1984).
07:07:40.514	127.0.0.1:49501	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	2.79 ms
07:07:41.251	127.0.0.1:49501	ManageIT	OK	EXEC[0]	735.06 ms
07:07:41.400	127.0.0.1:49503	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	0.15 ms
07:07:41.988	127.0.0.1:49503	ManageIT	OK	EXEC[0]	587.41 ms
07:07:42.149	127.0.0.1:49504	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.js]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader.js")	0.16 ms
07:07:42.265	127.0.0.1:49504	ManageIT	OK	EXEC[0]	114.71 ms
07:07:42.478	127.0.0.1:49505	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.json]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader.json")	0.28 ms
07:07:42.607	127.0.0.1:49505	ManageIT	OK	EXEC[0]	126.13 ms
07:07:42.688	127.0.0.1:49506	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.class]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.class"}:) brjx:isResource("/BRjx_packages/BRjx_loader.class")	0.15 ms
07:07:42.741	127.0.0.1:49506	ManageIT	OK	EXEC[0]	52.88 ms
07:07:42.816	127.0.0.1:49507	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/package.json]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = package.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader/package.json")	0.18 ms
07:07:42.866	127.0.0.1:49507	ManageIT	OK	EXEC[0]	48.96 ms
07:07:42.934	127.0.0.1:49508	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_packages/BRjx_loader/package.json")	0.18 ms
07:07:43.039	127.0.0.1:49508	ManageIT	OK	EXEC[0]	104.32 ms
07:07:43.179	127.0.0.1:49509	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/main.js]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = main.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader/main.js")	0.21 ms
07:07:43.227	127.0.0.1:49509	ManageIT	OK	EXEC[0]	49.15 ms
