20:20:21.922	SERVER	admin	OK	Server was started (port: 1984).
20:20:22.002	127.0.0.1:65105	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; declare variable $table as xs:string external; for $db in db:list() (:where expression - database - beginn:)(:where expression - database - end:) for $doc in collection($db) (:where expression - document - beginn:)(:where expression - document - end:) for $t in $doc/* (:where expression - table - beginn:)where $t/@id = $table(:where expression - table - end:) for $r in $t/* (:where expression - record - beginn:)(:where expression - record - end:) return $r (:string, number, boolean, null, object, array:)	1.51 ms
20:20:22.021	127.0.0.1:65105	ManageIT	OK	BIND[0] $table=175c9043-0cc4-4165-bdb1-eb66fc13457f	18.31 ms
20:20:22.291	127.0.0.1:65105	ManageIT	OK	EXEC[0]	269.18 ms
20:20:22.359	127.0.0.1:65110	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/lib/modules.xml/")	0.12 ms
20:20:22.409	127.0.0.1:65110	ManageIT	OK	EXEC[0]	49.41 ms
20:20:22.461	127.0.0.1:65111	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test.js")	0.09 ms
20:20:22.481	127.0.0.1:65111	ManageIT	OK	EXEC[0]	19.44 ms
20:20:22.505	127.0.0.1:65112	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test.json")	0.1 ms
20:20:22.523	127.0.0.1:65112	ManageIT	OK	EXEC[0]	18.11 ms
20:20:22.542	127.0.0.1:65113	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test.class")	0.09 ms
20:20:22.559	127.0.0.1:65113	ManageIT	OK	EXEC[0]	16.31 ms
20:20:22.584	127.0.0.1:65114	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/package.json")	0.1 ms
20:20:22.600	127.0.0.1:65114	ManageIT	OK	EXEC[0]	16.42 ms
20:20:22.619	127.0.0.1:65115	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/package.json")	0.09 ms
20:20:22.635	127.0.0.1:65115	ManageIT	OK	EXEC[0]	15.11 ms
20:20:22.653	127.0.0.1:65116	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_main/lib/modules.xml/BRjx-Test/package.json")	0.09 ms
20:20:22.677	127.0.0.1:65116	ManageIT	OK	EXEC[0]	24.27 ms
20:20:22.707	127.0.0.1:65117	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.11 ms
20:20:22.723	127.0.0.1:65117	ManageIT	OK	EXEC[0]	15.85 ms
20:20:22.741	127.0.0.1:65118	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.09 ms
20:20:22.753	127.0.0.1:65118	ManageIT	OK	EXEC[0]	12.64 ms
20:20:22.771	127.0.0.1:65119	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.09 ms
20:20:22.784	127.0.0.1:65119	ManageIT	OK	EXEC[0]	12.78 ms
20:20:22.802	127.0.0.1:65120	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.08 ms
20:20:22.813	127.0.0.1:65120	ManageIT	OK	EXEC[0]	11.74 ms
20:20:22.832	127.0.0.1:65121	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_main/lib/modules.xml/BRjx-Test/BRjxTest.js")	0.12 ms
20:20:22.842	127.0.0.1:65121	ManageIT	OK	EXEC[0]	10.13 ms
20:20:22.864	127.0.0.1:65122	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/lib/modules.xml/BRjx-Test/")	0.12 ms
20:20:22.885	127.0.0.1:65122	ManageIT	OK	EXEC[0]	21.05 ms
