12:00:48.057	SERVER	admin	OK	Server was started (port: 1984).
12:00:48.242	127.0.0.1:53361	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; declare variable $table as xs:string external; for $db in db:list() (:where expression - database - beginn:)(:where expression - database - end:) for $doc in collection($db) (:where expression - document - beginn:)(:where expression - document - end:) for $t in $doc/* (:where expression - table - beginn:)where $t/@id = $table(:where expression - table - end:) for $r in $t/* (:where expression - record - beginn:)(:where expression - record - end:) return $r (:string, number, boolean, null, object, array:)	1.75 ms
12:00:48.274	127.0.0.1:53361	ManageIT	OK	BIND[0] $table=175c9043-0cc4-4165-bdb1-eb66fc13457f	30.92 ms
12:00:48.663	127.0.0.1:53361	ManageIT	OK	EXEC[0]	388.6 ms
12:00:48.739	127.0.0.1:53366	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/app.xml/")	0.12 ms
12:00:48.789	127.0.0.1:53366	ManageIT	OK	EXEC[0]	49.66 ms
12:00:48.838	127.0.0.1:53367	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js.js")	0.1 ms
12:00:48.858	127.0.0.1:53367	ManageIT	OK	EXEC[0]	20.09 ms
12:00:48.879	127.0.0.1:53368	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js.json")	0.08 ms
12:00:48.896	127.0.0.1:53368	ManageIT	OK	EXEC[0]	16.09 ms
12:00:48.914	127.0.0.1:53369	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js.class")	0.09 ms
12:00:48.930	127.0.0.1:53369	ManageIT	OK	EXEC[0]	16.55 ms
12:00:48.951	127.0.0.1:53370	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/package.json")	0.08 ms
12:00:48.968	127.0.0.1:53370	ManageIT	OK	EXEC[0]	16.26 ms
12:00:48.988	127.0.0.1:53371	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/index.js")	0.1 ms
12:00:49.002	127.0.0.1:53371	ManageIT	OK	EXEC[0]	14.15 ms
12:00:49.020	127.0.0.1:53372	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/index.json")	0.09 ms
12:00:49.035	127.0.0.1:53372	ManageIT	OK	EXEC[0]	14.33 ms
12:00:49.053	127.0.0.1:53373	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/index.class")	0.11 ms
12:00:49.065	127.0.0.1:53373	ManageIT	OK	EXEC[0]	12.02 ms
12:00:49.084	127.0.0.1:53374	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js")	0.1 ms
12:00:49.100	127.0.0.1:53374	ManageIT	OK	EXEC[0]	15.63 ms
12:00:49.119	127.0.0.1:53375	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js")	0.11 ms
12:00:49.136	127.0.0.1:53375	ManageIT	OK	EXEC[0]	16.53 ms
12:00:49.156	127.0.0.1:53376	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js")	0.11 ms
12:00:49.169	127.0.0.1:53376	ManageIT	OK	EXEC[0]	13.43 ms
12:00:49.189	127.0.0.1:53377	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_main/bin/app.xml/BRjx.js")	0.09 ms
12:00:49.209	127.0.0.1:53377	ManageIT	OK	EXEC[0]	19.64 ms
12:00:49.239	127.0.0.1:53378	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/bin/app.xml/")	0.1 ms
12:00:49.261	127.0.0.1:53378	ManageIT	OK	EXEC[0]	21.4 ms
