15:03:59.792	SERVER	admin	OK	Server was started (port: 1984).
15:04:59.340	127.0.0.1:63840	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	3.34 ms
15:05:02.220	127.0.0.1:63840	ManageIT	OK	EXEC[0]	2877.78 ms
15:05:18.273	127.0.0.1:63856	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.26 ms
15:05:18.381	127.0.0.1:63856	ManageIT	OK	EXEC[0]	107.08 ms
15:05:22.857	127.0.0.1:63857	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.15 ms
15:05:22.950	127.0.0.1:63857	ManageIT	OK	EXEC[0]	84.47 ms
15:05:35.445	127.0.0.1:63863	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.17 ms
15:05:35.572	127.0.0.1:63863	ManageIT	OK	EXEC[0]	127.47 ms
15:05:38.398	127.0.0.1:63868	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.14 ms
15:05:38.450	127.0.0.1:63868	ManageIT	OK	EXEC[0]	50.2 ms
15:05:39.619	127.0.0.1:63869	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.14 ms
15:05:39.661	127.0.0.1:63869	ManageIT	OK	EXEC[0]	40.95 ms
15:05:42.586	127.0.0.1:63870	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.2 ms
15:05:42.631	127.0.0.1:63870	ManageIT	OK	EXEC[0]	43.58 ms
15:05:44.644	127.0.0.1:63871	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.14 ms
15:05:44.688	127.0.0.1:63871	ManageIT	OK	EXEC[0]	43.38 ms
15:06:05.666	127.0.0.1:63886	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getResources("/BRjx_application/bin/app.xml/BRjx_workers/lib/")	0.14 ms
