21:07:48.162	127.0.0.1:53730	admin	OK		0.8 ms
21:15:09.151	127.0.0.1:54007	admin	REQUEST	OPEN app-cm	3.53 ms
21:15:09.155	127.0.0.1:54007	admin	OK	Database 'app-cm' was opened in 1.15 ms.	3.59 ms
21:15:09.166	127.0.0.1:54007	admin	REQUEST	INFO	0.43 ms
21:15:09.168	127.0.0.1:54007	admin	OK		1.56 ms
21:17:47.299	127.0.0.1:54027	admin	REQUEST	OPEN app-cm	0.35 ms
21:17:47.299	127.0.0.1:54027	admin	OK	Database 'app-cm' was opened in 0.07 ms.	0.64 ms
21:17:47.300	127.0.0.1:54027	admin	REQUEST	INFO	0.2 ms
21:17:47.300	127.0.0.1:54027	admin	OK		0.65 ms
21:18:06.886	127.0.0.1:54028	admin	REQUEST	OPEN app-cm	1.85 ms
21:18:06.886	127.0.0.1:54028	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.32 ms
21:18:06.889	127.0.0.1:54028	admin	REQUEST	XQUERY /cmd/app/@id	0.36 ms
21:18:06.896	127.0.0.1:54028	admin	OK	Query executed in 7.05 ms.	7.6 ms
21:41:32.301	127.0.0.1:54091	admin	REQUEST	OPEN app-cm	3.14 ms
21:41:32.316	127.0.0.1:54091	admin	OK	Database 'app-cm' was opened in 3.08 ms.	14.68 ms
21:41:32.319	127.0.0.1:54091	admin	REQUEST	XQUERY /cmd/app/@id	0.39 ms
21:41:32.321	127.0.0.1:54091	admin	OK	Query executed in 0.83 ms.	1.1 ms
21:41:33.850	127.0.0.1:54092	admin	REQUEST	OPEN app-cm	0.53 ms
21:41:33.850	127.0.0.1:54092	admin	OK	Database 'app-cm' was opened in 0.08 ms.	0.35 ms
21:41:33.851	127.0.0.1:54092	admin	REQUEST	XQUERY /cmd/app/@id	0.23 ms
21:41:33.855	127.0.0.1:54092	admin	OK	Query executed in 3.28 ms.	3.58 ms
21:41:44.198	127.0.0.1:54096	admin	REQUEST	OPEN app-cm	0.36 ms
21:41:44.198	127.0.0.1:54096	admin	OK	Database 'app-cm' was opened in 0.06 ms.	0.33 ms
21:41:44.205	127.0.0.1:54096	admin	REQUEST	XQUERY /cmd/app	0.48 ms
21:41:44.207	127.0.0.1:54096	admin	OK	Query executed in 1.3 ms.	1.6 ms
21:41:56.496	127.0.0.1:54097	admin	REQUEST	OPEN app-cm	0.34 ms
21:41:56.498	127.0.0.1:54097	admin	OK	Database 'app-cm' was opened in 0.07 ms.	2.36 ms
21:41:56.499	127.0.0.1:54097	admin	REQUEST	XQUERY /cmd/app/@id	0.28 ms
21:41:56.500	127.0.0.1:54097	admin	OK	Query executed in 0.63 ms.	0.84 ms
21:54:34.495	SERVER	admin	OK	Server was stopped (port: 1984).
21:54:52.069	SERVER	admin	OK	Server was started (port: 1984).
21:55:17.067	127.0.0.1:54340	admin	REQUEST	XQUERY /cmd/app/@id	32.84 ms
21:55:17.384	127.0.0.1:54340	admin	ERROR	Stopped at ., 1/2: [XPDY0002] root(): no context value bound.	316.35 ms
22:06:33.895	SERVER	admin	OK	Server was stopped (port: 1984).
22:06:44.629	SERVER	admin	OK	Server was started (port: 1984).
22:08:07.087	127.0.0.1:54413	admin	REQUEST	INFO	236.1 ms
22:08:07.102	127.0.0.1:54413	admin	OK		14.95 ms
