10:46:50.938	SERVER	admin	OK	Server was started (port: 1984).
10:46:51.008	127.0.0.1:50307	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	1.87 ms
10:46:51.365	127.0.0.1:50307	ManageIT	OK	EXEC[0]	356.33 ms
10:46:51.436	127.0.0.1:50308	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	0.14 ms
10:46:51.609	127.0.0.1:50308	ManageIT	OK	EXEC[0]	172.33 ms
10:46:51.683	127.0.0.1:50309	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.js]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader.js")	0.09 ms
10:46:51.714	127.0.0.1:50309	ManageIT	OK	EXEC[0]	30.66 ms
10:46:51.753	127.0.0.1:50310	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.json]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader.json")	0.11 ms
10:46:51.779	127.0.0.1:50310	ManageIT	OK	EXEC[0]	26.26 ms
10:46:51.806	127.0.0.1:50311	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader.class]: exists - rpath = /BRjx_packages/ - name = BRjx_loader.class"}:) brjx:isResource("/BRjx_packages/BRjx_loader.class")	0.12 ms
10:46:51.828	127.0.0.1:50311	ManageIT	OK	EXEC[0]	22.41 ms
10:46:51.858	127.0.0.1:50312	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/package.json]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = package.json"}:) brjx:isResource("/BRjx_packages/BRjx_loader/package.json")	0.1 ms
10:46:51.882	127.0.0.1:50312	ManageIT	OK	EXEC[0]	23.37 ms
10:46:51.908	127.0.0.1:50313	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_packages/BRjx_loader/package.json")	0.1 ms
10:46:51.954	127.0.0.1:50313	ManageIT	OK	EXEC[0]	44.89 ms
10:46:51.988	127.0.0.1:50314	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/main.js]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = main.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader/main.js")	0.1 ms
10:46:52.007	127.0.0.1:50314	ManageIT	OK	EXEC[0]	19.24 ms
