07:21:08.351	SERVER	admin	OK	Server was started (port: 1984).
07:21:25.891	0:0:0:0:0:0:0:1:51082	admin	REQUEST	[GET] http://localhost:8080/
07:21:28.492	0:0:0:0:0:0:0:1:51082	admin	302		2603.3 ms
07:21:28.492	0:0:0:0:0:0:0:1:51082	admin	200		0.34 ms
07:21:28.528	0:0:0:0:0:0:0:1:51083	admin	REQUEST	[GET] http://localhost:8080/webdav
07:21:28.615	0:0:0:0:0:0:0:1:51083	admin	200		90.8 ms
07:21:29.110	0:0:0:0:0:0:0:1:51083	admin	REQUEST	[GET] http://localhost:8080/webdav
07:21:29.111	0:0:0:0:0:0:0:1:51083	admin	200		1.28 ms
07:21:29.587	0:0:0:0:0:0:0:1:51085	admin	REQUEST	[GET] http://localhost:8080/webdav
07:21:29.588	0:0:0:0:0:0:0:1:51085	admin	200		1.04 ms
07:21:29.618	0:0:0:0:0:0:0:1:51085	admin	REQUEST	[GET] http://localhost:8080/webdav
07:21:29.619	0:0:0:0:0:0:0:1:51085	admin	200		1.22 ms
07:21:34.463	0:0:0:0:0:0:0:1:51085	admin	REQUEST	[GET] http://localhost:8080/webdav
07:21:34.769	0:0:0:0:0:0:0:1:51085	admin	200		306.41 ms
07:21:35.095	0:0:0:0:0:0:0:1:51083	admin	REQUEST	[GET] http://localhost:8080/favicon.ico
07:21:35.134	0:0:0:0:0:0:0:1:51086	admin	REQUEST	[GET] http://localhost:8080/apple-touch-icon-precomposed.png
07:21:35.309	0:0:0:0:0:0:0:1:51083	admin	404	No function found that matches the request.	214.62 ms
07:21:35.380	0:0:0:0:0:0:0:1:51086	admin	404	No function found that matches the request.	246.3 ms
07:21:35.509	0:0:0:0:0:0:0:1:51086	admin	REQUEST	[GET] http://localhost:8080/apple-touch-icon.png
07:21:35.563	0:0:0:0:0:0:0:1:51086	admin	404	No function found that matches the request.	54.34 ms
07:21:44.664	0:0:0:0:0:0:0:1:51085	admin	REQUEST	[GET] http://localhost:8080/webdav/
07:21:44.667	0:0:0:0:0:0:0:1:51085	admin	200		3.17 ms
07:25:49.088	0:0:0:0:0:0:0:1:51141	admin	REQUEST	[GET] http://localhost:8080/webdav
07:25:49.089	0:0:0:0:0:0:0:1:51141	admin	200		1.31 ms
07:25:49.834	0:0:0:0:0:0:0:1:51141	admin	REQUEST	[GET] http://localhost:8080/
07:25:49.882	0:0:0:0:0:0:0:1:51143	admin	REQUEST	[GET] http://localhost:8080/
07:25:50.034	0:0:0:0:0:0:0:1:51143	admin	302		151.77 ms
07:25:50.034	0:0:0:0:0:0:0:1:51143	admin	200		0.15 ms
07:25:50.041	0:0:0:0:0:0:0:1:51141	admin	302		206.84 ms
07:25:50.041	0:0:0:0:0:0:0:1:51141	admin	200		0.17 ms
07:25:50.049	0:0:0:0:0:0:0:1:51141	admin	REQUEST	[GET] http://localhost:8080/cm/app
07:25:50.109	0:0:0:0:0:0:0:1:51143	admin	REQUEST	[GET] http://localhost:8080/cm/app
07:25:50.279	0:0:0:0:0:0:0:1:51143	admin	200		170.51 ms
07:25:50.285	0:0:0:0:0:0:0:1:51141	admin	200		236.18 ms
07:25:50.468	0:0:0:0:0:0:0:1:51143	admin	REQUEST	[GET] http://localhost:8080/css?style=default
07:25:50.534	0:0:0:0:0:0:0:1:51141	admin	REQUEST	[GET] http://localhost:8080/css?style=default
07:25:50.691	0:0:0:0:0:0:0:1:51143	admin	200		222.99 ms
