18:46:56.703	SERVER	admin	OK	Server was started (port: 1984).
18:46:56.866	127.0.0.1:65211	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; declare variable $table as xs:string external; for $db in db:list() (:where expression - database - beginn:)(:where expression - database - end:) for $doc in collection($db) (:where expression - document - beginn:)(:where expression - document - end:) for $t in $doc/* (:where expression - table - beginn:)where $t/@id = $table(:where expression - table - end:) for $r in $t/* (:where expression - record - beginn:)(:where expression - record - end:) return $r (:string, number, boolean, null, object, array:)	4.3 ms
18:46:56.940	127.0.0.1:65211	admin	OK	BIND[0] $table=175c9043-0cc4-4165-bdb1-eb66fc13457f	71.71 ms
18:46:57.317	127.0.0.1:65211	admin	OK	EXEC[0]	376.93 ms
18:46:57.386	127.0.0.1:65212	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/modules.xml/")	0.13 ms
18:46:57.434	127.0.0.1:65212	admin	OK	EXEC[0]	47.58 ms
18:46:57.483	127.0.0.1:65213	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.js")	0.1 ms
18:46:57.501	127.0.0.1:65213	admin	OK	EXEC[0]	18.26 ms
18:46:57.523	127.0.0.1:65214	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.json")	0.08 ms
18:46:57.539	127.0.0.1:65214	admin	OK	EXEC[0]	15.89 ms
18:46:57.557	127.0.0.1:65215	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js.class")	0.1 ms
18:46:57.572	127.0.0.1:65215	admin	OK	EXEC[0]	14.87 ms
18:46:57.599	127.0.0.1:65216	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/package.json")	0.09 ms
18:46:57.614	127.0.0.1:65216	admin	OK	EXEC[0]	15.03 ms
18:46:57.633	127.0.0.1:65218	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.js")	0.09 ms
18:46:57.646	127.0.0.1:65218	admin	OK	EXEC[0]	13.19 ms
18:46:57.664	127.0.0.1:65219	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.json")	0.09 ms
18:46:57.678	127.0.0.1:65219	admin	OK	EXEC[0]	13.66 ms
18:46:57.700	127.0.0.1:65220	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/BRjx.js/index.class")	0.13 ms
18:46:57.713	127.0.0.1:65220	admin	OK	EXEC[0]	12.04 ms
