19:05:37.087	SERVER	admin	OK	Server was stopped (port: 1984).
19:05:57.064	SERVER	admin	OK	Server was started (port: 1984).
19:29:48.951	127.0.0.1:65256	admin	REQUEST	INFO	34.61 ms
19:29:48.956	127.0.0.1:65256	admin	OK		5.42 ms
19:29:49.223	127.0.0.1:65257	admin	REQUEST	XQUERY db:open("global_app", "bin/commands.xml")/commands/command[1]/script/text()	7.2 ms
19:29:49.735	127.0.0.1:65257	admin	OK	Query executed in 510.55 ms.	511.88 ms
19:29:49.743	127.0.0.1:65257	admin	OK	QUERY[0] declare variable $dbname as xs:string external; declare variable $tablename as xs:string external; let $database := db:open($dbname, $tablename) let $json := element json {attribute type {"object"}, for $n in $database/commands/* return element {$n/name/text()} {attribute type {"object"}, for $c in $n/* return $c } } return json:serialize($json)	2.89 ms
19:29:49.752	127.0.0.1:65257	admin	OK	BIND[0] $dbname=global_app	7.77 ms
19:29:49.752	127.0.0.1:65257	admin	OK	BIND[0] $tablename=bin/commands.xml	0.13 ms
19:29:49.801	127.0.0.1:65257	admin	OK	EXEC[0]	48.3 ms
19:29:49.813	127.0.0.1:65258	admin	REQUEST	INFO	0.46 ms
19:29:49.815	127.0.0.1:65258	admin	OK		1.82 ms
19:31:36.056	127.0.0.1:65266	admin	REQUEST	XQUERY db:open("global_app", "bin/commands.xml")/commands/command[1]/script/text()	0.58 ms
19:31:36.064	127.0.0.1:65266	admin	OK	Query executed in 5.74 ms.	7.33 ms
19:31:36.065	127.0.0.1:65266	admin	OK	QUERY[0] declare variable $dbname as xs:string external; declare variable $tablename as xs:string external; let $database := db:open($dbname, $tablename) let $json := element json {attribute type {"object"}, for $n in $database/commands/* return element {$n/name/text()} {attribute type {"object"}, for $c in $n/* return $c } } return json:serialize($json)	0.17 ms
19:31:36.079	127.0.0.1:65266	admin	OK	BIND[0] $dbname=global_app	0.82 ms
19:31:36.079	127.0.0.1:65266	admin	OK	BIND[0] $tablename=bin/commands.xml	0.1 ms
19:31:36.111	127.0.0.1:65266	admin	OK	EXEC[0]	31.65 ms
19:31:36.125	127.0.0.1:65267	admin	REQUEST	XQUERY db:open('global_app')/system/properties/getSysProperties/text()	0.42 ms
19:31:36.128	127.0.0.1:65267	admin	OK	Query executed in 2.64 ms.	2.96 ms
19:31:36.140	127.0.0.1:65267	admin	REQUEST	INFO	0.84 ms
19:31:36.141	127.0.0.1:65267	admin	OK		1.13 ms
19:31:36.150	127.0.0.1:65267	admin	REQUEST	XQUERY json:serialize(element json {attribute type {"object"}, db:open("global_app")/system/*})	0.41 ms
19:31:36.156	127.0.0.1:65267	admin	OK	Query executed in 5.58 ms.	5.94 ms
19:32:44.567	127.0.0.1:65277	admin	REQUEST	XQUERY db:open('global_app')/system/properties/getSysProperties/text()	0.38 ms
19:32:44.573	127.0.0.1:65277	admin	OK	Query executed in 5.18 ms.	6.17 ms
19:32:44.597	127.0.0.1:65277	admin	REQUEST	INFO	0.42 ms
19:32:44.598	127.0.0.1:65277	admin	OK		1.03 ms
19:32:44.600	127.0.0.1:65277	admin	REQUEST	XQUERY json:serialize(element json {attribute type {"object"}, db:open("global_app")/system/*})	0.35 ms
19:32:44.604	127.0.0.1:65277	admin	OK	Query executed in 3.89 ms.	4.18 ms
19:32:46.339	127.0.0.1:65278	admin	REQUEST	XQUERY db:open('global_app')/system/properties/getSysProperties/text()	0.38 ms
19:32:46.342	127.0.0.1:65278	admin	OK	Query executed in 2.26 ms.	2.55 ms
19:32:46.381	127.0.0.1:65278	admin	REQUEST	INFO	23.85 ms
19:32:46.382	127.0.0.1:65278	admin	OK		0.92 ms
19:32:46.387	127.0.0.1:65278	admin	REQUEST	XQUERY json:serialize(element json {attribute type {"object"}, db:open("global_app")/system/*})	0.64 ms
19:32:46.390	127.0.0.1:65278	admin	OK	Query executed in 3.21 ms.	13.16 ms
19:37:46.267	127.0.0.1:65299	admin	REQUEST	INFO	0.52 ms
19:37:46.268	127.0.0.1:65299	admin	OK		0.91 ms
19:37:46.317	127.0.0.1:65300	admin	REQUEST	XQUERY db:open('global_app')/system/properties/getSysProperties/text()	0.41 ms
19:37:46.322	127.0.0.1:65300	admin	OK	Query executed in 4.81 ms.	5.14 ms
19:37:46.337	127.0.0.1:65300	admin	REQUEST	XQUERY json:serialize(element json {attribute type {"object"}, db:open("global_app")/system/*})	0.42 ms
19:37:46.341	127.0.0.1:65300	admin	OK	Query executed in 3.12 ms.	3.39 ms
19:38:47.923	127.0.0.1:65305	admin	REQUEST	INFO	0.36 ms
19:38:47.929	127.0.0.1:65305	admin	OK		6.18 ms
19:38:47.963	127.0.0.1:65306	admin	REQUEST	XQUERY db:open('global_app')/system/properties/getSysProperties/text()	0.43 ms
