12:14:36.030	SERVER	admin	OK	Server was started (port: 1984).
12:14:36.122	127.0.0.1:57809	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_application/etc/init/boot.xml/")	1.29 ms
12:14:36.475	127.0.0.1:57809	ManageIT	OK	EXEC[0]	352.39 ms
12:14:36.545	127.0.0.1:57810	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.js")	0.11 ms
12:14:36.569	127.0.0.1:57810	ManageIT	OK	EXEC[0]	24.24 ms
12:14:36.618	127.0.0.1:57812	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.json")	0.09 ms
12:14:36.640	127.0.0.1:57812	ManageIT	OK	EXEC[0]	21.85 ms
12:14:36.667	127.0.0.1:57813	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.class")	0.09 ms
12:14:36.686	127.0.0.1:57813	ManageIT	OK	EXEC[0]	18.21 ms
12:14:36.715	127.0.0.1:57814	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.1 ms
12:14:36.733	127.0.0.1:57814	ManageIT	OK	EXEC[0]	17.8 ms
12:14:36.754	127.0.0.1:57815	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.09 ms
12:14:36.771	127.0.0.1:57815	ManageIT	OK	EXEC[0]	16.94 ms
12:14:36.794	127.0.0.1:57816	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.12 ms
12:14:36.825	127.0.0.1:57816	ManageIT	OK	EXEC[0]	29.88 ms
12:14:36.859	127.0.0.1:57817	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
12:14:36.875	127.0.0.1:57817	ManageIT	OK	EXEC[0]	16.19 ms
12:14:36.900	127.0.0.1:57818	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
12:14:36.914	127.0.0.1:57818	ManageIT	OK	EXEC[0]	14.44 ms
12:14:36.937	127.0.0.1:57819	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
12:14:36.950	127.0.0.1:57819	ManageIT	OK	EXEC[0]	13.66 ms
12:14:36.970	127.0.0.1:57820	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
12:14:36.983	127.0.0.1:57820	ManageIT	OK	EXEC[0]	12.4 ms
12:14:37.004	127.0.0.1:57821	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.1 ms
12:14:37.014	127.0.0.1:57821	ManageIT	OK	EXEC[0]	9.77 ms
12:14:37.042	127.0.0.1:57826	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_application/etc/init/boot.xml/BRjx_loader/")	0.09 ms
12:14:37.069	127.0.0.1:57826	ManageIT	OK	EXEC[0]	26.31 ms
12:14:37.106	127.0.0.1:57827	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.js")	0.12 ms
12:14:37.119	127.0.0.1:57827	ManageIT	OK	EXEC[0]	13.1 ms
12:14:37.155	127.0.0.1:57828	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.json")	0.09 ms
12:14:37.169	127.0.0.1:57828	ManageIT	OK	EXEC[0]	12.95 ms
12:14:37.195	127.0.0.1:57829	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.class")	0.09 ms
12:14:37.208	127.0.0.1:57829	ManageIT	OK	EXEC[0]	12.59 ms
