13:58:25.325	SERVER	admin	OK	Server was started (port: 1984).
13:58:25.419	127.0.0.1:64227	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_main/bin/app.xml/")	1.43 ms
13:58:25.751	127.0.0.1:64227	ManageIT	OK	EXEC[0]	331.44 ms
13:58:25.822	127.0.0.1:64234	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js.js")	0.15 ms
13:58:25.845	127.0.0.1:64234	ManageIT	OK	EXEC[0]	22.94 ms
13:58:25.897	127.0.0.1:64235	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js.json")	0.12 ms
13:58:25.917	127.0.0.1:64235	ManageIT	OK	EXEC[0]	19.24 ms
13:58:25.941	127.0.0.1:64236	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js.class")	0.09 ms
13:58:25.956	127.0.0.1:64236	ManageIT	OK	EXEC[0]	15.14 ms
13:58:25.982	127.0.0.1:64237	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/package.json")	0.09 ms
13:58:25.996	127.0.0.1:64237	ManageIT	OK	EXEC[0]	14.2 ms
13:58:26.015	127.0.0.1:64238	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/index.js")	0.08 ms
13:58:26.031	127.0.0.1:64238	ManageIT	OK	EXEC[0]	14.99 ms
13:58:26.056	127.0.0.1:64239	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/index.json")	0.12 ms
13:58:26.071	127.0.0.1:64239	ManageIT	OK	EXEC[0]	14.2 ms
13:58:26.091	127.0.0.1:64240	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js/index.class")	0.09 ms
13:58:26.105	127.0.0.1:64240	ManageIT	OK	EXEC[0]	14.31 ms
13:58:26.128	127.0.0.1:64241	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js")	0.09 ms
13:58:26.140	127.0.0.1:64241	ManageIT	OK	EXEC[0]	11.98 ms
13:58:26.159	127.0.0.1:64242	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js")	0.08 ms
13:58:26.171	127.0.0.1:64242	ManageIT	OK	EXEC[0]	11.88 ms
13:58:26.191	127.0.0.1:64243	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/app.xml/BRjx.js")	0.09 ms
13:58:26.202	127.0.0.1:64243	ManageIT	OK	EXEC[0]	10.67 ms
13:58:26.222	127.0.0.1:64244	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_main/bin/app.xml/BRjx.js")	0.11 ms
13:58:26.242	127.0.0.1:64244	ManageIT	OK	EXEC[0]	20.03 ms
13:58:26.273	127.0.0.1:64245	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_main/bin/app.xml/")	0.09 ms
