11:56:07.676	SERVER	admin	OK	Server was started (port: 1984).
11:56:07.757	127.0.0.1:50591	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; declare variable $table as xs:string external; for $db in db:list() (:where expression - database - beginn:)(:where expression - database - end:) for $doc in collection($db) (:where expression - document - beginn:)(:where expression - document - end:) for $t in $doc/* (:where expression - table - beginn:)where $t/@id = $table(:where expression - table - end:) for $r in $t/* (:where expression - record - beginn:)(:where expression - record - end:) return $r (:string, number, boolean, null, object, array:)	1.78 ms
11:56:07.784	127.0.0.1:50591	ManageIT	OK	BIND[0] $table=175c9043-0cc4-4165-bdb1-eb66fc13457f	25.88 ms
11:56:08.159	127.0.0.1:50591	ManageIT	OK	EXEC[0]	374.79 ms
11:56:08.229	127.0.0.1:50592	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_application/lib/modules.xml/")	0.11 ms
11:56:08.290	127.0.0.1:50592	ManageIT	OK	EXEC[0]	60.6 ms
11:56:08.339	127.0.0.1:50593	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test.js")	0.09 ms
11:56:08.362	127.0.0.1:50593	ManageIT	OK	EXEC[0]	22.49 ms
11:56:08.383	127.0.0.1:50594	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test.json")	0.08 ms
11:56:08.403	127.0.0.1:50594	ManageIT	OK	EXEC[0]	19.31 ms
11:56:08.426	127.0.0.1:50595	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test.class")	0.09 ms
11:56:08.444	127.0.0.1:50595	ManageIT	OK	EXEC[0]	17.32 ms
11:56:08.462	127.0.0.1:50596	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/package.json")	0.08 ms
11:56:08.483	127.0.0.1:50596	ManageIT	OK	EXEC[0]	21.08 ms
11:56:08.506	127.0.0.1:50597	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/package.json")	0.12 ms
11:56:08.525	127.0.0.1:50597	ManageIT	OK	EXEC[0]	18.52 ms
11:56:08.543	127.0.0.1:50598	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/lib/modules.xml/BRjx_test/package.json")	0.12 ms
11:56:08.572	127.0.0.1:50598	ManageIT	OK	EXEC[0]	28.91 ms
11:56:08.606	127.0.0.1:50599	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/main.js")	0.1 ms
11:56:08.621	127.0.0.1:50599	ManageIT	OK	EXEC[0]	14.78 ms
11:56:08.639	127.0.0.1:50600	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/main.js")	0.12 ms
11:56:08.655	127.0.0.1:50600	ManageIT	OK	EXEC[0]	15.72 ms
11:56:08.672	127.0.0.1:50601	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/main.js")	0.09 ms
11:56:08.685	127.0.0.1:50601	ManageIT	OK	EXEC[0]	12.93 ms
11:56:08.703	127.0.0.1:50602	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/main.js")	0.09 ms
11:56:08.720	127.0.0.1:50602	ManageIT	OK	EXEC[0]	16.61 ms
11:56:08.741	127.0.0.1:50603	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/lib/modules.xml/BRjx_test/main.js")	0.1 ms
11:56:08.751	127.0.0.1:50603	ManageIT	OK	EXEC[0]	10.55 ms
11:56:08.777	127.0.0.1:50604	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_application/lib/modules.xml/BRjx_test/")	0.11 ms
11:56:08.803	127.0.0.1:50604	ManageIT	OK	EXEC[0]	25.76 ms
11:56:08.838	127.0.0.1:50605	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/basex.js")	0.11 ms
11:56:08.851	127.0.0.1:50605	ManageIT	OK	EXEC[0]	12.23 ms
11:56:08.896	127.0.0.1:50606	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/basex.json")	0.08 ms
11:56:08.908	127.0.0.1:50606	ManageIT	OK	EXEC[0]	11.27 ms
11:56:08.952	127.0.0.1:50607	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/basex.class")	0.09 ms
11:56:08.963	127.0.0.1:50607	ManageIT	OK	EXEC[0]	10.16 ms
11:56:08.984	127.0.0.1:50608	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/args.js")	0.09 ms
11:56:08.994	127.0.0.1:50608	ManageIT	OK	EXEC[0]	10.06 ms
11:56:09.013	127.0.0.1:50609	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/args.json")	0.08 ms
11:56:09.023	127.0.0.1:50609	ManageIT	OK	EXEC[0]	9.95 ms
11:56:09.044	127.0.0.1:50610	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/args.class")	0.11 ms
11:56:09.054	127.0.0.1:50610	ManageIT	OK	EXEC[0]	10.59 ms
11:56:09.076	127.0.0.1:50611	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/default.properties")	0.1 ms
11:56:09.086	127.0.0.1:50611	ManageIT	OK	EXEC[0]	9.47 ms
11:56:09.106	127.0.0.1:50612	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/lib/modules.xml/BRjx_test/default.properties")	0.08 ms
11:56:09.116	127.0.0.1:50612	ManageIT	OK	EXEC[0]	9.62 ms
11:56:09.136	127.0.0.1:50613	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/lib/modules.xml/BRjx_test/default.properties")	0.11 ms
11:56:09.145	127.0.0.1:50613	ManageIT	OK	EXEC[0]	8.69 ms
11:56:09.172	127.0.0.1:50614	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_application/lib/modules.xml/BRjx_test/")	0.11 ms
