10:50:56.853	SERVER	admin	OK	Server was started (port: 1984).
10:54:29.156	127.0.0.1:52750	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; import module namespace brjx = "http://brjx.stocker-schmid.ch"; brjx:getBundles()	2.0 ms
10:54:29.477	127.0.0.1:52750	ManageIT	REQUEST	EXEC[0]	319.78 ms
10:54:29.477	127.0.0.1:52750	ManageIT	ERROR	Stopped at ., 6/9: [XPST0003] Unexpected end of query: 'module namespac...'.	0.14 ms
10:55:10.532	127.0.0.1:52858	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; import module namespace brjx = "http://brjx.stocker-schmid.ch"; brjx:getBundles()	0.13 ms
10:55:10.547	127.0.0.1:52858	ManageIT	REQUEST	EXEC[0]	15.18 ms
10:55:10.548	127.0.0.1:52858	ManageIT	ERROR	Stopped at ., 6/9: [XPST0003] Unexpected end of query: 'module namespac...'.	0.13 ms
10:56:46.301	127.0.0.1:53156	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getBundles()	0.1 ms
10:56:46.361	127.0.0.1:53156	ManageIT	REQUEST	EXEC[0]	59.11 ms
10:56:46.361	127.0.0.1:53156	ManageIT	ERROR	[json:serialize] Atomic values cannot be serialized.	0.08 ms
10:57:36.654	127.0.0.1:53254	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	0.09 ms
10:57:36.674	127.0.0.1:53254	ManageIT	OK	EXEC[0]	19.04 ms
10:58:55.418	127.0.0.1:53431	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	0.09 ms
10:58:55.433	127.0.0.1:53431	ManageIT	OK	EXEC[0]	15.16 ms
11:03:21.660	SERVER	admin	OK	Server was stopped (port: 1984).
11:03:27.294	SERVER	admin	OK	Server was started (port: 1984).
11:03:27.367	127.0.0.1:54047	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_application/etc/init/boot.xml/")	1.28 ms
11:03:27.663	127.0.0.1:54047	ManageIT	OK	EXEC[0]	295.3 ms
11:03:27.733	127.0.0.1:54050	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.js")	0.12 ms
11:03:27.759	127.0.0.1:54050	ManageIT	OK	EXEC[0]	25.2 ms
11:03:27.809	127.0.0.1:54051	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.json")	0.09 ms
11:03:27.829	127.0.0.1:54051	ManageIT	OK	EXEC[0]	19.19 ms
11:03:27.856	127.0.0.1:54052	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader.class")	0.09 ms
11:03:27.874	127.0.0.1:54052	ManageIT	OK	EXEC[0]	18.37 ms
11:03:27.899	127.0.0.1:54053	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.1 ms
11:03:27.916	127.0.0.1:54053	ManageIT	OK	EXEC[0]	16.65 ms
11:03:27.935	127.0.0.1:54054	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.08 ms
11:03:27.951	127.0.0.1:54054	ManageIT	OK	EXEC[0]	16.21 ms
11:03:27.971	127.0.0.1:54055	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/etc/init/boot.xml/BRjx_loader/package.json")	0.13 ms
11:03:27.999	127.0.0.1:54055	ManageIT	OK	EXEC[0]	28.2 ms
11:03:28.032	127.0.0.1:54056	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
11:03:28.048	127.0.0.1:54056	ManageIT	OK	EXEC[0]	15.93 ms
11:03:28.070	127.0.0.1:54057	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
11:03:28.084	127.0.0.1:54057	ManageIT	OK	EXEC[0]	13.93 ms
11:03:28.105	127.0.0.1:54058	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
11:03:28.117	127.0.0.1:54058	ManageIT	OK	EXEC[0]	12.51 ms
11:03:28.137	127.0.0.1:54059	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
11:03:28.156	127.0.0.1:54059	ManageIT	OK	EXEC[0]	18.1 ms
11:03:28.175	127.0.0.1:54060	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/etc/init/boot.xml/BRjx_loader/main.js")	0.09 ms
11:03:28.185	127.0.0.1:54060	ManageIT	OK	EXEC[0]	9.59 ms
11:03:28.211	127.0.0.1:54065	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_application/etc/init/boot.xml/BRjx_loader/")	0.09 ms
11:03:28.242	127.0.0.1:54065	ManageIT	OK	EXEC[0]	31.18 ms
11:03:28.278	127.0.0.1:54066	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.js")	0.09 ms
11:03:28.293	127.0.0.1:54066	ManageIT	OK	EXEC[0]	14.65 ms
11:03:28.341	127.0.0.1:54067	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.json")	0.12 ms
11:03:28.353	127.0.0.1:54067	ManageIT	OK	EXEC[0]	11.66 ms
11:03:28.379	127.0.0.1:54068	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/basex.class")	0.11 ms
11:03:28.393	127.0.0.1:54068	ManageIT	OK	EXEC[0]	14.05 ms
11:03:28.446	127.0.0.1:54069	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/args.js")	0.12 ms
11:03:28.461	127.0.0.1:54069	ManageIT	OK	EXEC[0]	13.79 ms
11:03:28.484	127.0.0.1:54070	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/args.json")	0.1 ms
11:03:28.497	127.0.0.1:54070	ManageIT	OK	EXEC[0]	12.68 ms
11:03:28.520	127.0.0.1:54071	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/args.class")	0.09 ms
11:03:28.531	127.0.0.1:54071	ManageIT	OK	EXEC[0]	10.31 ms
11:03:28.556	127.0.0.1:54072	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/default.properties")	0.1 ms
11:03:28.566	127.0.0.1:54072	ManageIT	OK	EXEC[0]	9.9 ms
11:03:28.590	127.0.0.1:54073	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_loader/default.properties")	0.13 ms
11:03:28.601	127.0.0.1:54073	ManageIT	OK	EXEC[0]	10.27 ms
11:03:28.625	127.0.0.1:54074	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_application/etc/init/boot.xml/BRjx_loader/default.properties")	0.09 ms
11:03:28.633	127.0.0.1:54074	ManageIT	OK	EXEC[0]	7.88 ms
11:03:28.667	127.0.0.1:54075	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_application/etc/init/boot.xml/BRjx_loader/")	0.12 ms
11:03:28.676	127.0.0.1:54075	ManageIT	OK	EXEC[0]	8.8 ms
11:03:28.727	127.0.0.1:54076	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_application/bin/app.xml/")	0.16 ms
11:03:28.740	127.0.0.1:54076	ManageIT	OK	EXEC[0]	12.79 ms
11:03:28.770	127.0.0.1:54077	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_application.js")	0.11 ms
11:03:28.780	127.0.0.1:54077	ManageIT	OK	EXEC[0]	10.05 ms
11:03:28.805	127.0.0.1:54078	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_application.json")	0.09 ms
11:03:28.814	127.0.0.1:54078	ManageIT	OK	EXEC[0]	9.67 ms
11:03:28.837	127.0.0.1:54079	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_application.class")	0.09 ms
11:03:28.847	127.0.0.1:54079	ManageIT	OK	EXEC[0]	10.21 ms
11:03:28.870	127.0.0.1:54080	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/bin/app.xml/BRjx_application.js")	0.12 ms
11:03:28.879	127.0.0.1:54080	ManageIT	OK	EXEC[0]	9.08 ms
11:03:28.902	127.0.0.1:54081	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/bin/app.xml/BRjx_application.json")	0.09 ms
11:03:28.915	127.0.0.1:54081	ManageIT	OK	EXEC[0]	12.3 ms
11:03:28.939	127.0.0.1:54082	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/bin/app.xml/BRjx_application.class")	0.09 ms
11:03:28.948	127.0.0.1:54082	ManageIT	OK	EXEC[0]	9.59 ms
11:03:28.987	127.0.0.1:54083	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_application/etc/init/boot.xml/BRjx_application/package.json")	0.09 ms
11:03:28.997	127.0.0.1:54083	ManageIT	OK	EXEC[0]	9.35 ms
