15:06:44.030	SERVER	admin	OK	Server was started (port: 1984).
15:06:44.172	127.0.0.1:50609	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	2.23 ms
15:06:44.858	127.0.0.1:50609	ManageIT	OK	EXEC[0]	685.85 ms
15:06:44.930	127.0.0.1:50610	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_application/bin/app.xml,/BRjx_application/etc/init/boot.xml,/BRjx_application/lib/jobs.xml,/BRjx_application/lib/macros.xml,/BRjx_application/lib/modules.xml,/BRjx_application/lib/mountpoints.xml,/BRjx_application/var/ui/components.xml,/BRjx_application/var/ui/scripts.xml,/BRjx_application_data/lib/modules.xml,/BRjx_application_data/var/ui/components.xml,/BRjx_application_data/var/ui/scripts.xml/")	0.19 ms
15:06:45.084	127.0.0.1:50610	ManageIT	OK	EXEC[0]	154.07 ms
15:06:45.088	SERVER	admin	OK	Server was stopped (port: 1984).
15:09:42.843	SERVER	admin	OK	Server was started (port: 1984).
15:09:42.916	127.0.0.1:50627	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	1.26 ms
15:09:43.175	127.0.0.1:50627	ManageIT	OK	EXEC[0]	258.6 ms
15:09:43.246	127.0.0.1:50628	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	0.12 ms
15:09:43.358	127.0.0.1:50628	ManageIT	OK	EXEC[0]	112.13 ms
