07:26:27.041	SERVER	admin	OK	Server wurde gestartet (Port: 1984).
07:26:32.594	127.0.0.1:62467	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.json")	0.14 ms
07:26:32.619	127.0.0.1:62467	admin	OK	EXEC[0]	20.93 ms
07:26:32.716	127.0.0.1:62468	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection.class")	0.14 ms
07:26:32.742	127.0.0.1:62468	admin	OK	EXEC[0]	21.2 ms
07:26:32.917	127.0.0.1:62469	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/package.json")	0.26 ms
07:26:32.944	127.0.0.1:62469	admin	OK	EXEC[0]	22.14 ms
07:26:33.067	127.0.0.1:62470	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/package.json")	0.22 ms
07:26:33.106	127.0.0.1:62470	admin	OK	EXEC[0]	18.24 ms
07:26:33.179	127.0.0.1:62471	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.js")	0.13 ms
07:26:33.204	127.0.0.1:62471	admin	OK	EXEC[0]	20.88 ms
07:26:33.298	127.0.0.1:62472	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.json")	0.15 ms
07:26:33.320	127.0.0.1:62472	admin	OK	EXEC[0]	18.29 ms
07:26:33.389	127.0.0.1:62473	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection/index.class")	0.13 ms
07:26:33.410	127.0.0.1:62473	admin	OK	EXEC[0]	17.11 ms
07:26:33.544	127.0.0.1:62475	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("[object Object]/basex/connection")	0.13 ms
07:26:33.568	127.0.0.1:62475	admin	OK	EXEC[0]	20.37 ms
07:42:12.359	127.0.0.1:62555	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/Args.js")	0.36 ms
07:42:12.403	127.0.0.1:62555	admin	OK	EXEC[0]	40.15 ms
07:42:12.500	127.0.0.1:62556	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/Args.json")	0.15 ms
07:42:12.520	127.0.0.1:62556	admin	OK	EXEC[0]	17.13 ms
07:42:12.605	127.0.0.1:62557	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/Args.class")	0.11 ms
07:42:12.623	127.0.0.1:62557	admin	OK	EXEC[0]	15.52 ms
07:49:59.372	127.0.0.1:62562	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/basex/client.js.js")	0.26 ms
07:49:59.426	127.0.0.1:62562	admin	OK	EXEC[0]	48.19 ms
07:49:59.536	127.0.0.1:62563	admin	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isResource("/BRjx_main/bin/modules.xml/basex/client.js.json")	0.11 ms
07:49:59.554	127.0.0.1:62563	admin	OK	EXEC[0]	15.63 ms
