10:57:02.857	SERVER	admin	OK	Server was started (port: 1984).
10:57:02.941	127.0.0.1:53282	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	1.57 ms
10:57:03.295	127.0.0.1:53282	ManageIT	OK	EXEC[0]	353.55 ms
10:57:03.359	127.0.0.1:53283	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	0.13 ms
10:57:03.494	127.0.0.1:53283	ManageIT	OK	EXEC[0]	134.04 ms
10:57:03.570	127.0.0.1:53284	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/args.js]: exists - rpath = /BRjx_packages/ - name = args.js"}:) brjx:isResource("/BRjx_packages/args.js")	0.12 ms
10:57:03.611	127.0.0.1:53284	ManageIT	OK	EXEC[0]	40.26 ms
10:57:03.641	127.0.0.1:53285	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/args.json]: exists - rpath = /BRjx_packages/ - name = args.json"}:) brjx:isResource("/BRjx_packages/args.json")	0.1 ms
10:57:03.678	127.0.0.1:53285	ManageIT	OK	EXEC[0]	36.91 ms
10:57:03.705	127.0.0.1:53286	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/args.class]: exists - rpath = /BRjx_packages/ - name = args.class"}:) brjx:isResource("/BRjx_packages/args.class")	0.12 ms
10:57:03.737	127.0.0.1:53286	ManageIT	OK	EXEC[0]	31.42 ms
10:57:03.795	127.0.0.1:53287	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/default.properties]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = default.properties"}:) brjx:isResource("/BRjx_packages/BRjx_loader/default.properties")	0.15 ms
10:57:03.822	127.0.0.1:53287	ManageIT	OK	EXEC[0]	26.37 ms
10:57:03.848	127.0.0.1:53288	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_packages/BRjx_loader/default.properties")	0.11 ms
10:57:03.890	127.0.0.1:53288	ManageIT	OK	EXEC[0]	42.37 ms
10:57:03.955	127.0.0.1:53289	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/httpserver.js]: exists - rpath = /BRjx_packages/ - name = httpserver.js"}:) brjx:isResource("/BRjx_packages/httpserver.js")	0.13 ms
10:57:03.983	127.0.0.1:53289	ManageIT	OK	EXEC[0]	28.69 ms
10:57:04.021	127.0.0.1:53290	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/httpserver.json]: exists - rpath = /BRjx_packages/ - name = httpserver.json"}:) brjx:isResource("/BRjx_packages/httpserver.json")	0.13 ms
10:57:04.046	127.0.0.1:53290	ManageIT	OK	EXEC[0]	24.65 ms
10:57:04.075	127.0.0.1:53291	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/httpserver.class]: exists - rpath = /BRjx_packages/ - name = httpserver.class"}:) brjx:isResource("/BRjx_packages/httpserver.class")	0.13 ms
10:57:04.100	127.0.0.1:53291	ManageIT	OK	EXEC[0]	25.05 ms
10:57:04.365	127.0.0.1:53292	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/main.js]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = main.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader/main.js")	0.15 ms
10:57:04.383	127.0.0.1:53292	ManageIT	OK	EXEC[0]	17.72 ms
10:57:04.429	127.0.0.1:53293	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_packages/BRjx_loader/main.js")	0.13 ms
10:57:04.449	127.0.0.1:53293	ManageIT	OK	EXEC[0]	19.97 ms
10:57:04.478	127.0.0.1:53294	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_packages/BRjx_loader/main.js")	0.11 ms
10:57:04.507	127.0.0.1:53294	ManageIT	OK	EXEC[0]	28.27 ms
10:57:04.541	127.0.0.1:53295	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/log4j.properties]: exists - rpath = /BRjx_packages/BRjx_loader/ - name = log4j.properties"}:) brjx:isResource("/BRjx_packages/BRjx_loader/log4j.properties")	0.14 ms
10:57:04.559	127.0.0.1:53295	ManageIT	OK	EXEC[0]	17.38 ms
10:57:04.618	127.0.0.1:53296	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_packages/BRjx_loader/log4j.properties")	0.11 ms
10:57:04.638	127.0.0.1:53296	ManageIT	OK	EXEC[0]	19.96 ms
10:57:04.667	127.0.0.1:53297	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_packages/BRjx_loader/log4j.properties")	0.1 ms
10:57:04.687	127.0.0.1:53297	ManageIT	OK	EXEC[0]	19.67 ms
10:57:04.752	127.0.0.1:53298	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_loader/rc/rc0.js]: exists - rpath = /BRjx_packages/BRjx_loader/rc/ - name = rc0.js"}:) brjx:isResource("/BRjx_packages/BRjx_loader/rc/rc0.js")	0.13 ms
10:57:04.769	127.0.0.1:53298	ManageIT	OK	EXEC[0]	16.63 ms
10:57:04.793	127.0.0.1:53299	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "json"; declare option output:json "format=jsonml"; brjx:getContent("/BRjx_packages/BRjx_loader/rc/rc0.js")	0.09 ms
10:57:04.810	127.0.0.1:53299	ManageIT	OK	EXEC[0]	17.35 ms
10:57:04.840	127.0.0.1:53300	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_packages/BRjx_loader/rc/rc0.js")	0.11 ms
10:57:04.858	127.0.0.1:53300	ManageIT	OK	EXEC[0]	17.05 ms
10:57:04.882	127.0.0.1:53301	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getLastModified("/BRjx_packages/BRjx_loader/rc/rc0.js")	0.09 ms
10:57:04.900	127.0.0.1:53301	ManageIT	OK	EXEC[0]	17.03 ms
10:57:04.936	127.0.0.1:53302	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_workers.js]: exists - rpath = /BRjx_packages/ - name = BRjx_workers.js"}:) brjx:isResource("/BRjx_packages/BRjx_workers.js")	0.1 ms
10:57:04.952	127.0.0.1:53302	ManageIT	OK	EXEC[0]	15.16 ms
10:57:04.981	127.0.0.1:53303	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_workers.json]: exists - rpath = /BRjx_packages/ - name = BRjx_workers.json"}:) brjx:isResource("/BRjx_packages/BRjx_workers.json")	0.09 ms
10:57:04.997	127.0.0.1:53303	ManageIT	OK	EXEC[0]	15.86 ms
10:57:05.026	127.0.0.1:53304	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/BRjx_workers.class]: exists - rpath = /BRjx_packages/ - name = BRjx_workers.class"}:) brjx:isResource("/BRjx_packages/BRjx_workers.class")	0.18 ms
10:57:05.042	127.0.0.1:53304	ManageIT	OK	EXEC[0]	14.93 ms
