08:31:00.265	SERVER	admin	OK	Server was started (port: 1984).
08:31:00.342	127.0.0.1:54675	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:getBundles()	1.22 ms
08:31:00.598	127.0.0.1:54675	ManageIT	OK	EXEC[0]	255.67 ms
08:31:00.662	127.0.0.1:54676	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; brjx:isRepository("/BRjx_packages/")	0.11 ms
08:31:00.773	127.0.0.1:54676	ManageIT	OK	EXEC[0]	111.14 ms
08:31:00.846	127.0.0.1:54677	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/args.js]: exists - rpath = /BRjx_packages/ - name = args.js"}:) brjx:isResource("/BRjx_packages/args.js")	0.12 ms
08:31:00.879	127.0.0.1:54677	ManageIT	OK	EXEC[0]	32.82 ms
08:31:00.907	127.0.0.1:54678	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/args.json]: exists - rpath = /BRjx_packages/ - name = args.json"}:) brjx:isResource("/BRjx_packages/args.json")	0.1 ms
08:31:00.945	127.0.0.1:54678	ManageIT	OK	EXEC[0]	38.09 ms
08:31:00.971	127.0.0.1:54679	ManageIT	OK	QUERY[0] import module namespace brjx = "http://brjx.stocker-schmid.ch"; declare namespace output = "http://www.w3.org/2010/xslt-xquery-serialization"; declare option output:method "text"; (:{"warn":"DatabaseResource[/BRjx_packages/args.class]: exists - rpath = /BRjx_packages/ - name = args.class"}:) brjx:isResource("/BRjx_packages/args.class")	0.12 ms
08:31:00.997	127.0.0.1:54679	ManageIT	OK	EXEC[0]	25.97 ms
